Recording timestamp,Pupil diameter left,Pupil diameter right
572327,5.51,5.04
572347,5.47,5.07
572367,5.43,5.06
572387,5.39,5.05
572407,5.35,5.03
572427,5.31,5.00
572447,5.27,4.97
572467,5.25,4.94
572487,5.20,4.91
572507,5.17,4.87
572527,5.07,4.85
572547,5.05,4.83
572567,5.00,4.79
572587,4.96,4.76
572607,4.92,4.72
572626,4.89,4.70
572646,4.87,4.63
572666,4.84,4.64
572686,4.82,4.63
572706,4.80,4.58
572726,4.77,4.54
572746,4.73,4.53
572766,4.69,4.52
572786,4.66,4.50
572806,4.55,4.48
572826,4.54,4.46
572846,4.54,4.45
572866,4.56,4.44
572886,4.59,4.43
572906,4.59,4.44
572926,4.59,4.45
572946,4.54,4.46
572966,4.58,4.46
572986,4.61,4.48
573006,4.64,4.50
573026,4.76,4.53
573046,4.80,4.55
573066,4.87,4.57
573086,4.86,4.56
573106,4.92,
573126,,
573146,,
573166,,
573186,,
573206,,
573226,,
573246,,
573266,,
573286,,
573306,4.09,
573326,,
573346,4.82,4.27
573366,5.02,4.42
573386,5.19,4.83
573406,5.26,5.02
573426,5.33,5.10
573446,5.37,5.13
573466,5.46,5.15
573486,5.50,5.17
573506,5.51,5.20
573526,5.51,5.21
573546,5.52,5.18
573566,5.52,5.16
573586,5.53,5.16
573606,5.56,5.16
573626,5.57,5.17
573646,5.60,5.18
573666,5.65,5.20
573686,5.65,5.22
573706,5.67,5.23
573726,5.68,5.24
573746,5.70,5.28
573766,5.71,5.32
573786,5.71,5.33
573806,5.70,5.37
573826,5.70,5.41
573846,5.70,5.43
573866,5.70,5.39
573886,5.70,5.34
573906,5.68,5.33
573926,5.69,5.31
573946,5.70,5.32
573966,5.70,5.32
573986,5.70,5.33
574006,5.73,5.32
574026,5.75,5.29
574046,5.76,5.26
574066,5.76,5.27
574086,5.76,5.27
574106,5.79,5.28
574126,5.80,5.29
574146,5.80,5.26
574166,5.80,5.26
574186,5.80,5.24
